id,Kh,mindhr,htype,species_id,literature_id
1,1.2&times;10<sup>&#8722;5</sup>,1700,L,1,729
2,1.3&times;10<sup>&#8722;5</sup>,1500,L,1,603
3,1.3&times;10<sup>&#8722;5</sup>,1500,L,1,602
4,1.3&times;10<sup>&#8722;5</sup>,1400,L,1,239
5,1.3&times;10<sup>&#8722;5</sup>,1500,L,1,57
6,1.3&times;10<sup>&#8722;5</sup>,1500,L,1,744
7,1.3&times;10<sup>&#8722;5</sup>,1400,M,1,569
8,1.3&times;10<sup>&#8722;5</sup>,1400,M,1,67
9,1.2&times;10<sup>&#8722;5</sup>,1800,M,1,126
10,1.3&times;10<sup>&#8722;5</sup>,1200,M,1,747
11,1.3&times;10<sup>&#8722;5</sup>,1500,X,1,53
12,1.3&times;10<sup>&#8722;5</sup>,1500,X,1,53
13,1.2&times;10<sup>&#8722;5</sup>,1700,?,1,188
14,1.3&times;10<sup>&#8722;5</sup>,"",?,1,636
15,1.0&times;10<sup>&#8722;4</sup>,2800,L,2,603
16,1.0&times;10<sup>&#8722;4</sup>,2800,L,2,602
17,1.1&times;10<sup>&#8722;4</sup>,2400,L,2,725
18,1.3&times;10<sup>&#8722;4</sup>,2000,L,2,744
19,1.1&times;10<sup>&#8722;4</sup>,2300,M,2,268
20,1.2&times;10<sup>&#8722;4</sup>,1400,M,2,669
21,1.1&times;10<sup>&#8722;4</sup>,2300,M,2,401
22,"","",M,2,587
23,1.3&times;10<sup>&#8722;4</sup>,2000,M,2,99
24,1.1&times;10<sup>&#8722;4</sup>,2600,T,2,136
25,1.0&times;10<sup>&#8722;6</sup>,"",X,2,53
26,1.2&times;10<sup>&#8722;4</sup>,"",X,2,552
27,9.3&times;10<sup>&#8722;5</sup>,2500,?,2,636
28,9.3&times;10<sup>&#8722;5</sup>,2500,?,2,327
29,2.6&times;10<sup>&#8722;6</sup>,"",L,3,603
30,2.6&times;10<sup>&#8722;6</sup>,"",L,3,602
31,7.8&times;10<sup>&#8722;6</sup>,530,L,4,239
32,7.7&times;10<sup>&#8722;6</sup>,490,L,4,744
33,7.9&times;10<sup>&#8722;6</sup>,500,M,4,746
34,7.7&times;10<sup>&#8722;6</sup>,"",R,4,323
35,7.7&times;10<sup>&#8722;6</sup>,490,X,4,781
36,7.7&times;10<sup>&#8722;6</sup>,500,X,4,781
37,7.7&times;10<sup>&#8722;6</sup>,640,?,4,188
38,7.9&times;10<sup>&#8722;6</sup>,780,X,5,781
39,3.8&times;10<sup>&#8722;1</sup>,"",L,6,603
40,3.8&times;10<sup>&#8722;1</sup>,"",L,6,602
41,2.9&times;10<sup>&#8722;1</sup>,4300,T,6,297
42,3.2&times;10<sup>&#8722;1</sup>,"",T,6,512
43,2.9&times;10<sup>&#8722;1</sup>,3100,T,6,68
44,2.5&times;10<sup>&#8722;1</sup>,"",C,6,436
45,2.0,"",C,6,436
46,8.9&times;10<sup>1</sup>,"",C,6,436
47,2.5&times;10<sup>&#8722;1</sup>,5300,C,6,354
48,6.8,"",L,7,603
49,6.8,"",L,7,602
50,5.7&times;10<sup>1</sup>,"",R,7,567
51,3.8&times;10<sup>1</sup>,5900,T,7,297
52,8.9&times;10<sup>1</sup>,"",T,7,737
53,8.9&times;10<sup>1</sup>,"",T,7,136
54,1.2&times;10<sup>1</sup>,"",T,7,629
55,4.6&times;10<sup>1</sup>,4800,T,7,68
56,"",6600,E,7,354
57,9.1&times;10<sup>2</sup>,6600,L,8,729
58,8.3&times;10<sup>2</sup>,7600,L,8,603
59,7.6&times;10<sup>2</sup>,7300,L,8,602
