id,Kh,mindhr,htype,species_id,literature_id
1,1.2e-05,1700.0,L,1,729.0
2,1.3e-05,1500.0,L,1,603.0
3,1.3e-05,1500.0,L,1,602.0
4,1.3e-05,1400.0,L,1,239.0
5,1.3e-05,1500.0,L,1,57.0
6,1.3e-05,1500.0,L,1,744.0
7,1.3e-05,1400.0,M,1,569.0
8,1.3e-05,1400.0,M,1,67.0
9,1.2e-05,1800.0,M,1,126.0
10,1.3e-05,1200.0,M,1,747.0
11,1.3e-05,1500.0,X,1,53.0
12,1.3e-05,1500.0,X,1,53.0
13,1.2e-05,1700.0,?,1,188.0
14,1.3e-05,,?,1,636.0
15,0.0001,2800.0,L,2,603.0
16,0.0001,2800.0,L,2,602.0
17,0.00011,2400.0,L,2,725.0
18,0.00013,2000.0,L,2,744.0
19,0.00011,2300.0,M,2,268.0
20,0.00012,1400.0,M,2,669.0
21,0.00011,2300.0,M,2,401.0
23,0.00013,2000.0,M,2,99.0
24,0.00011,2600.0,T,2,136.0
25,1e-06,,X,2,53.0
26,0.00012,,X,2,552.0
27,9.3e-05,2500.0,?,2,636.0
28,9.3e-05,2500.0,?,2,327.0
29,2.6e-06,,L,3,603.0
30,2.6e-06,,L,3,602.0
31,7.8e-06,530.0,L,4,239.0
32,7.7e-06,490.0,L,4,744.0
33,7.9e-06,500.0,M,4,746.0
34,7.7e-06,,R,4,323.0
35,7.7e-06,490.0,X,4,781.0
36,7.7e-06,500.0,X,4,781.0
37,7.7e-06,640.0,?,4,188.0
38,7.9e-06,780.0,X,5,781.0
39,0.38,,L,6,603.0
40,0.38,,L,6,602.0
41,0.29,4300.0,T,6,297.0
42,0.32,,T,6,512.0
43,0.29,3100.0,T,6,68.0
44,0.25,,C,6,436.0
45,2.0,,C,6,436.0
46,89.0,,C,6,436.0
47,0.25,5300.0,C,6,354.0
48,6.8,,L,7,603.0
49,6.8,,L,7,602.0
50,57.0,,R,7,567.0
51,38.0,5900.0,T,7,297.0
52,89.0,,T,7,737.0
53,89.0,,T,7,136.0
54,12.0,,T,7,629.0
55,46.0,4800.0,T,7,68.0
57,910.0,6600.0,L,8,729.0
58,830.0,7600.0,L,8,603.0
59,760.0,7300.0,L,8,602.0
60,980.0,6100.0,L,8,247.0
61,1100.0,7000.0,M,8,341.0
62,820.0,7400.0,M,8,534.0
63,990.0,6300.0,M,8,453.0
65,850.0,6500.0,M,8,792.0
66,670.0,7900.0,M,8,344.0
67,1400.0,,M,8,780.0
68,960.0,6600.0,T,8,136.0
69,700.0,7000.0,T,8,487.0
70,64.0,,Q,8,320.0
71,700.0,7300.0,?,8,636.0
72,700.0,7300.0,?,8,327.0
74,6.4e-06,1600.0,L,9,729.0
75,6.4e-06,1300.0,L,9,603.0
76,6.4e-06,1300.0,L,9,602.0
77,6.5e-06,1200.0,L,9,239.0
78,6.5e-06,1200.0,L,9,58.0
79,6.4e-06,1300.0,L,9,744.0
80,5.4e-06,,L,9,676.0
81,6.6e-06,1200.0,M,9,570.0
82,6.5e-06,1400.0,M,9,747.0
83,6.5e-06,1200.0,X,9,54.0
84,6.3e-06,1600.0,?,9,188.0
85,0.59,4200.0,L,10,603.0
86,0.59,4200.0,L,10,602.0
87,0.58,4400.0,L,10,777.0
88,0.6,4200.0,L,10,216.0
89,0.1,1500.0,L,10,744.0
90,0.28,3200.0,M,10,647.0
91,0.6,4200.0,M,10,157.0
92,0.55,4100.0,M,10,181.0
93,0.77,,M,10,329.0
94,0.74,3700.0,M,10,291.0
95,0.56,4200.0,T,10,181.0
96,0.57,4100.0,T,10,136.0
97,0.61,,X,10,707.0
98,0.27,2100.0,?,10,188.0
99,0.57,,?,10,9.0
100,0.61,4100.0,?,10,636.0
101,0.58,4100.0,?,10,327.0
102,0.52,,?,10,85.0
103,0.12,3800.0,L,11,603.0
104,0.098,3100.0,L,11,744.0
105,0.12,3700.0,M,11,75.0
106,0.099,,M,11,690.0
107,16.0,,V,12,340.0
108,0.00024,2700.0,L,13,729.0
109,0.00024,2600.0,L,13,603.0
110,0.00024,2600.0,L,13,602.0
111,0.00024,2600.0,L,13,744.0
112,0.00018,,L,13,676.0
113,0.00025,2700.0,M,13,739.0
114,0.00024,,M,13,368.0
115,0.00024,2500.0,X,13,782.0
116,0.00024,2600.0,X,13,782.0
119,0.00024,2800.0,?,13,188.0
120,0.00025,,?,13,636.0
121,0.00025,,?,13,456.0
122,1.9e-05,1600.0,L,14,729.0
123,1.9e-05,1600.0,L,14,603.0
124,1.9e-05,1600.0,L,14,602.0
125,1.9e-05,1500.0,L,14,631.0
126,1.3e-05,,M,14,786.0
127,2.3e-05,,M,14,399.0
128,1.9e-05,1500.0,M,14,398.0
129,1.9e-05,1600.0,M,14,749.0
130,1.9e-05,1400.0,X,14,782.0
131,1.9e-05,1400.0,X,14,782.0
132,1.9e-05,1700.0,C,14,459.0
135,1.9e-05,1700.0,?,14,188.0
136,1.9e-05,,?,14,636.0
137,1.9e-05,,?,14,24.0
139,9.9e-05,,L,15,729.0
140,0.00012,2400.0,L,15,603.0
141,0.00014,,L,15,602.0
142,0.00012,,L,15,631.0
143,0.00014,,M,15,151.0
144,6.9e-05,,M,15,427.0
145,0.00023,,M,15,399.0
146,0.00012,2500.0,T,15,136.0
147,0.00034,1800.0,T,15,68.0
148,9.9e-05,,?,15,539.0
149,9.9e-05,,?,15,636.0
150,0.0004,,?,15,24.0
151,0.00038,,L,16,603.0
152,0.00038,,L,16,602.0
153,0.018,,M,16,693.0
154,0.0059,,M,16,589.0
155,0.12,1900.0,T,16,137.0
156,0.00034,2000.0,T,16,68.0
159,0.0059,,L,17,631.0
160,0.25,,M,17,398.0
161,0.014,,L,18,631.0
162,0.02,,M,18,399.0
163,0.016,3500.0,M,18,398.0
164,0.031,,M,18,24.0
165,0.013,1100.0,M,18,402.0
166,0.00087,3600.0,T,19,255.0
169,1400.0,,Q,20,340.0
170,0.48,4800.0,L,21,631.0
171,0.47,4900.0,M,21,61.0
172,0.47,4900.0,M,21,60.0
173,0.48,4900.0,M,21,542.0
174,0.37,9000.0,M,21,398.0
175,0.47,4700.0,T,21,486.0
176,0.48,4800.0,T,21,136.0
177,0.48,,?,21,636.0
178,880.0,,V,22,213.0
179,2100.0,8700.0,R,22,436.0
182,26000.0,8700.0,T,22,136.0
183,2100.0,,T,22,631.0
184,2100.0,,?,22,539.0
185,2100.0,,?,22,636.0
186,3400.0,8800.0,?,22,327.0
188,0.39,8400.0,L,23,440.0
189,39.0,,M,23,19.0
190,120.0,6900.0,T,23,567.0
191,140.0,,C,23,724.0
192,200.0,0.0,C,23,355.0
194,0.0002,400.0,T,24,68.0
195,130.0,,M,25,251.0
198,2.9e-05,,C,26,406.0
199,7.9e-06,1900.0,L,27,603.0
200,7.9e-06,1900.0,L,27,744.0
201,8.2e-06,1900.0,M,27,33.0
202,8.4e-06,2500.0,L,28,603.0
203,8.4e-06,2500.0,L,28,744.0
204,0.00092,2000.0,L,29,603.0
205,0.00092,2000.0,L,29,602.0
206,0.0009,2500.0,L,29,744.0
207,0.038,3100.0,M,29,485.0
208,0.00075,,R,29,450.0
209,0.00061,3200.0,R,29,94.0
210,0.00061,2800.0,T,29,717.0
211,0.00093,2100.0,X,29,783.0
212,0.00091,,?,29,52.0
428,3800000.0,,V,68,340.0
213,0.00092,2300.0,?,29,188.0
215,0.023,,L,30,603.0
216,0.023,,L,30,602.0
