id,avg_kh,med_kh,std_kh,species_id,occurrences
1.0,1.275e-05,1.3e-05,4.5226701686664503e-07,1.0,12.0
2.0,0.00010963636363636363,0.00011,1.2948148340768472e-05,2.0,11.0
3.0,2.6e-06,2.6e-06,0.0,3.0,2.0
4.0,7.76e-06,7.7e-06,8.944271909999113e-08,4.0,5.0
5.0,10.351111111111111,0.32,29.498675582322527,6.0,9.0
6.0,43.075,42.0,33.89866200477957,7.0,8.0
7.0,828.9333333333333,830.0,285.0612632567319,8.0,15.0
8.0,6.3399999999999994e-06,6.4e-06,3.4058772731852787e-07,9.0,10.0
9.0,0.5341176470588236,0.58,0.1675954512930397,10.0,17.0
10.0,0.10925,0.1095,0.012419742348374216,11.0,4.0
11.0,16.0,16.0,0.0,12.0,1.0
12.0,0.00023700000000000001,0.00024,2.0575065816014617e-05,13.0,10.0
13.0,1.8833333333333335e-05,1.9e-05,2.167249338901664e-06,14.0,12.0
14.0,0.00016466666666666667,0.00012,0.00010430840054493418,15.0,12.0
15.0,0.024166666666666666,0.00314,0.04744480526534666,16.0,6.0
16.0,0.12795,0.12795,0.17260476528763624,17.0,2.0
17.0,0.0188,0.016,0.007328028384224505,18.0,5.0
18.0,0.00087,0.00087,0.0,19.0,1.0
19.0,1400.0,1400.0,0.0,20.0,1.0
20.0,0.46249999999999997,0.475,0.03770183777256184,21.0,8.0
21.0,5525.714285714285,2100.0,9057.591396434369,22.0,7.0
22.0,99.878,120.0,80.06728058326946,23.0,5.0
23.0,0.0002,0.0002,0.0,24.0,1.0
24.0,130.0,130.0,0.0,25.0,1.0
25.0,2.9e-05,2.9e-05,0.0,26.0,1.0
26.0,8e-06,7.9e-06,1.7320508075688727e-07,27.0,3.0
27.0,8.4e-06,8.4e-06,0.0,28.0,2.0
28.0,0.004948888888888888,0.00091,0.012394860269930884,29.0,9.0
29.0,0.0120375,0.0125,0.012680915779232981,30.0,4.0
30.0,8.0802,0.2,11.441460361334999,31.0,5.0
31.0,5.9125,6.25,1.8481168021220178,32.0,8.0
32.0,0.007,0.007,0.0,34.0,2.0
33.0,0.17,0.17,0.0,35.0,3.0
34.0,0.01,0.01,0.0,36.0,3.0
35.0,0.00039,0.00039,0.0,38.0,1.0
36.0,0.88,0.86,0.034641016151377574,40.0,3.0
37.0,0.2866666666666667,0.29,0.005773502691896239,41.0,3.0
38.0,0.00099,0.00099,0.0,42.0,3.0
39.0,0.008461538461538461,0.0076,0.002953963005167369,43.0,13.0
40.0,0.00617,0.00617,0.008244865068635145,44.0,2.0
41.0,0.24,0.24,0.0,45.0,1.0
42.0,0.018,0.018,0.0,46.0,1.0
43.0,0.016116666666666665,0.01035,0.012854480412162394,49.0,6.0
44.0,0.02666666666666667,0.028999999999999998,0.007840068026915751,50.0,6.0
45.0,0.000426,0.000426,0.0005147737367038066,51.0,2.0
46.0,1.1,1.1,0.0,54.0,1.0
47.0,0.24,0.24,0.0,55.0,1.0
48.0,0.0009846666666666667,0.001,5.3031886185397506e-05,56.0,15.0
49.0,0.04014285714285715,0.012,0.10357892356359669,57.0,14.0
50.0,6500014500000.0,6500014500000.0,9192367649328.463,59.0,2.0
51.0,2.2875e-06,2.4e-06,3.7583240945932273e-07,60.0,8.0
52.0,8.9e-05,8.9e-05,0.0,61.0,1.0
53.0,3.8e-06,3.8e-06,8.164965809277283e-08,62.0,7.0
54.0,4.45e-06,4.45e-06,5.345224838248478e-08,63.0,8.0
55.0,1.4076923076923077e-05,1.4e-05,2.7735009811261474e-07,64.0,13.0
56.0,2.4333333333333333e-05,2.5e-05,1.6583123951777e-06,65.0,9.0
57.0,4.2444444444444445e-05,4.3e-05,4.126472801046648e-06,66.0,9.0
58.0,8.98e-05,9.1e-05,3.834057902536166e-06,67.0,5.0
59.0,3800000.0,3800000.0,0.0,68.0,1.0
60.0,0.00083,0.00083,0.0,69.0,1.0
61.0,7e-05,7e-05,1.5556349186104044e-05,70.0,2.0
62.0,8.8e-05,8.8e-05,0.0,71.0,1.0
63.0,0.0011990909090909092,0.0013,0.00018091183186594211,72.0,11.0
64.0,9000015333.333334,32000.0,15588443989.066301,73.0,3.0
65.0,130.0,130.0,0.0,74.0,2.0
66.0,38511.818181818184,14000.0,68232.42291142559,75.0,11.0
67.0,6722.4,1200.0,11453.94031763742,76.0,5.0
68.0,86.3,57.0,102.2485696721475,77.0,3.0
69.0,1.754074074074074e-05,1.4e-05,1.5204838785962923e-05,78.0,27.0
70.0,2.265e-05,1.9e-05,1.837124469324132e-05,79.0,20.0
71.0,1.4217647058823529e-05,1.4e-05,1.450963168949184e-06,80.0,17.0
72.0,1.3029999999999999e-05,1.2e-05,8.327323446910999e-06,81.0,20.0
73.0,1.490625e-05,8.35e-06,2.538465333621872e-05,82.0,16.0
74.0,8.442857142857142e-06,8e-06,1.0308430349172287e-06,83.0,14.0
75.0,6.6555555555555555e-06,7.2e-06,1.7840341302166216e-06,84.0,9.0
76.0,4.5363636363636364e-06,4.5e-06,1.3786027181699065e-06,85.0,11.0
77.0,1.761904761904762e-05,6.1e-06,5.0966239993231e-05,86.0,21.0
78.0,6.445454545454546e-06,5.7e-06,2.2200737088500624e-06,87.0,11.0
79.0,6.3444444444444454e-06,5.9e-06,9.976360948651455e-07,88.0,9.0
80.0,5.3e-06,5.3e-06,8.674675786448735e-07,89.0,9.0
81.0,6.9375e-06,7e-06,9.723866074179108e-07,90.0,8.0
82.0,5.305882352941176e-06,4.8e-06,1.8494832346615414e-06,91.0,17.0
83.0,5.3e-06,2.9e-06,5.59412957610795e-06,92.0,8.0
84.0,4.057142857142857e-06,4e-06,7.345228447936862e-07,93.0,7.0
85.0,3.157142857142857e-06,3.1e-06,4.7207747548166584e-07,94.0,7.0
86.0,5.383333333333333e-06,5.7e-06,4.915960401250872e-07,95.0,6.0
87.0,3.2500000000000002e-06,3.2e-06,6.279217421667404e-07,96.0,8.0
88.0,5.0428571428571425e-06,5.4e-06,5.883795341363229e-07,97.0,7.0
89.0,4.6e-06,4.6e-06,9.899494936611667e-07,98.0,2.0
90.0,3.45e-06,3.2500000000000002e-06,4.3588989435406714e-07,99.0,4.0
91.0,4.311304347826087e-06,3.1e-06,5.645274213766467e-06,100.0,23.0
92.0,2.78e-06,2.7e-06,1.0954451150103339e-07,101.0,5.0
93.0,3.1199999999999998e-06,2.7e-06,6.572670690061991e-07,102.0,5.0
94.0,2.85e-06,2.85e-06,2.1213203435596417e-07,103.0,2.0
95.0,2.4666666666666666e-06,2.6e-06,5.131601439446886e-07,104.0,3.0
96.0,3e-06,3e-06,5.65685424949238e-07,105.0,2.0
97.0,2.35e-06,2.35e-06,6.363961030678927e-07,106.0,2.0
98.0,2.4333333333333335e-06,2.7e-06,6.429100507328638e-07,107.0,3.0
99.0,2.75e-06,2.75e-06,2.1213203435596417e-07,108.0,2.0
100.0,3.1e-06,3.1e-06,9.899494936611667e-07,109.0,2.0
101.0,3.1500000000000003e-06,3.1500000000000003e-06,7.778174593052024e-07,110.0,2.0
102.0,2.65e-06,2.65e-06,7.071067811865468e-08,111.0,2.0
103.0,5.271428571428572e-06,3.2500000000000002e-06,5.9851648099444845e-06,112.0,14.0
104.0,3e-06,3e-06,8.485281374238571e-07,113.0,2.0
105.0,4.616666666666667e-06,5.1e-06,1.16518954109049e-06,114.0,6.0
106.0,3.1e-06,3.1e-06,7.071067811865474e-07,115.0,2.0
107.0,3.4e-06,3.4e-06,1.5556349186104046e-06,116.0,2.0
108.0,3e-06,3e-06,5.65685424949238e-07,117.0,2.0
109.0,4e-06,2.2e-06,5.746883213244086e-06,118.0,13.0
110.0,2e-06,2e-06,1.4142135623730936e-07,119.0,2.0
111.0,2.1499999999999997e-06,2.1499999999999997e-06,3.535533905932735e-07,120.0,2.0
112.0,1.32e-06,9.95e-07,6.533503399147097e-07,121.0,4.0
113.0,2.1499999999999997e-06,2.1499999999999997e-06,3.535533905932735e-07,122.0,2.0
114.0,1.7499999999999998e-06,1.7499999999999998e-06,4.949747468305833e-07,123.0,2.0
115.0,1.7499999999999998e-06,1.7499999999999998e-06,4.949747468305833e-07,124.0,2.0
116.0,1.75e-06,1.75e-06,3.535533905932737e-07,125.0,2.0
117.0,1.6499999999999999e-06,1.6499999999999999e-06,6.363961030678927e-07,126.0,2.0
118.0,2.1000000000000002e-06,2.1000000000000002e-06,2.8284271247461914e-07,127.0,2.0
119.0,2.2e-06,2.2e-06,5.656854249492382e-07,128.0,2.0
120.0,1.75e-06,1.75e-06,3.535533905932737e-07,129.0,2.0
121.0,2e-06,2e-06,1.4142135623730936e-07,130.0,2.0
122.0,2.25e-06,2.25e-06,4.949747468305834e-07,131.0,2.0
123.0,2.2e-06,2.2e-06,4.2426406871192865e-07,132.0,2.0
124.0,1.9e-06,1.9e-06,0.0,133.0,2.0
125.0,1.6e-06,1.6e-06,7.071067811865474e-07,134.0,2.0
126.0,2.8857142857142857e-06,2.9e-06,1.2785780792591058e-06,135.0,7.0
127.0,2.05e-06,2.05e-06,4.94974746830583e-07,136.0,2.0
128.0,2.2e-06,2.2e-06,5.656854249492382e-07,137.0,2.0
129.0,1.6999999999999998e-06,1.6999999999999998e-06,4.2426406871192855e-07,138.0,2.0
130.0,1.6499999999999999e-06,1.6499999999999999e-06,3.535533905932739e-07,139.0,2.0
131.0,2.3e-06,2.3e-06,8.485281374238571e-07,140.0,2.0
132.0,2.1000000000000002e-06,2.1000000000000002e-06,2.8284271247461914e-07,141.0,2.0
133.0,1.75e-06,1.75e-06,3.535533905932737e-07,142.0,2.0
134.0,2.45e-06,2.45e-06,1.060660171779821e-06,143.0,2.0
135.0,2.45e-06,2.45e-06,9.192388155425117e-07,144.0,2.0
136.0,2.5999999999999997e-06,2.5999999999999997e-06,1.414213562373095e-06,145.0,2.0
137.0,1.8000000000000001e-06,1.8000000000000001e-06,1.4142135623730957e-07,146.0,2.0
138.0,1.4e-06,1.4e-06,7.071067811865475e-07,147.0,2.0
139.0,2.1499999999999997e-06,2.1499999999999997e-06,7.778174593052022e-07,148.0,2.0
140.0,1.85e-06,1.85e-06,7.07106781186549e-08,149.0,2.0
141.0,2.4999999999999998e-06,2.4999999999999998e-06,1.414213562373095e-06,150.0,2.0
142.0,1.85e-06,1.85e-06,7.07106781186549e-08,151.0,2.0
143.0,6.125e-06,6.75e-06,3.983612263595275e-06,152.0,4.0
144.0,2.09e-06,2.1e-06,3.754996671103718e-07,153.0,10.0
145.0,1.6e-06,1.6e-06,1.4142135623730957e-07,154.0,2.0
146.0,1.7e-06,1.7e-06,0.0,155.0,2.0
147.0,1.6e-06,1.6e-06,0.0,156.0,2.0
148.0,1.6499999999999999e-06,1.6499999999999999e-06,7.071067811865474e-08,157.0,2.0
149.0,1.5e-06,1.5e-06,2.82842712474619e-07,158.0,2.0
150.0,1.6e-06,1.6e-06,1.4142135623730944e-07,159.0,2.0
151.0,1.45e-06,1.45e-06,3.5355339059327374e-07,160.0,2.0
152.0,1.45e-06,1.45e-06,2.1213203435596411e-07,161.0,2.0
153.0,1.4e-06,1.4e-06,2.82842712474619e-07,162.0,2.0
