id,bibtexkey,quotation,bibliography,doi
1,2291,Abd-El-Bary et&nbsp;al. (1986),"Abd-El-Bary, M. F., Hamoda, M. F., Tanisho, S., &#x0026; Wakao, N.: <span class='"cmti-10'">Henry&#x2019;s</span> <span class='"cmti-10'">constants for phenol over its diluted aqueous solution</span>, J. Chem. Eng. Data, 31, 229–230, <a href='"https://doi.org/10.1021/JE00044A027'" >doi:10.1021/JE00044A027</a> (1986). ",
2,3006,Abou-Naccoul et&nbsp;al. (2014),"Abou-Naccoul, R., Mokbel, I., Bassil, G., Saab, J., Stephan, K., &#x0026; Jose, J.: <span class='"cmti-10'">Aqueous solubility (in the range between 298.15 and 338.15</span><span class='"cmti-10'"> </span>K<span class='"cmti-10'">),</span> <span class='"cmti-10'">vapor pressures (in the range between </span>10<sup><span class='"cmsy-7'">−</span><span class='"cmr-7'">5</span></sup> <span class='"cmti-10'">and 80 Pa) and Henry&#x2019;s</span> <span class='"cmti-10'">law constant of 1,2,3,4-dibenzanthracene and 1,2,5,6-dibenzanthracene</span>, Chemosphere, 95, 41–49, <a href='"https://doi.org/10.1016/J.CHEMOSPHERE.2013.08.010'" >doi:10.1016/J.CHEMOSPHERE.2013.08.010</a> (2014). ",
3,2526,Abraham et&nbsp;al. (2007),"Abraham, M. A., Enomoto, K., Clarke, E. D., Rosés, M., Ràfols, C., &#x0026; Fuguet, E.: <span class='"cmti-10'">Henry&#x2019;s law constants or air to water partition coefficients</span> <span class='"cmti-10'">for 1,3,5-triazines by an LFER method</span>, J. Environ. Monit., 9, 234–239, <a href='"https://doi.org/10.1039/B617181H'" >doi:10.1039/B617181H</a> (2007). ",
4,2226,Abraham (1979),"Abraham, M. H.: <span class='"cmti-10'">Free energies of solution of rare</span> <span class='"cmti-10'">gases and alkanes in water and nonaqueous solvents. A quantitative</span> <span class='"cmti-10'">assessment of the hydrophobic effect</span>, J. Am. Chem. Soc., 101, 5477–5484, <a href='"https://doi.org/10.1021/JA00513A004'" >doi:10.1021/JA00513A004</a> (1979). ",
5,1497,Abraham (1984),"Abraham, M. H.: <span class='"cmti-10'">Thermodynamics of solution of</span> <span class='"cmti-10'">homologous series of solutes in water</span>, J. Chem. Soc. Faraday Trans. 1, 80, 153–181, <a href='"https://doi.org/10.1039/F19848000153'" >doi:10.1039/F19848000153</a> (1984). ",
6,2580,Abraham and Acree (2007),"Abraham, M. H. &#x0026; Acree, Jr., W. E.: <span class='"cmti-10'">Prediction</span> <span class='"cmti-10'">of gas to water partition coefficients from 273 to 373</span><span class='"cmti-10'"> </span>K <span class='"cmti-10'">using predicted</span> <span class='"cmti-10'">enthalpies and heat capacities of hydration</span>, Fluid Phase Equilib., 262, 97–110, <a href='"https://doi.org/10.1016/J.FLUID.2007.08.011'" >doi:10.1016/J.FLUID.2007.08.011</a> (2007). ",
7,1498,Abraham and Matteoli (1988),"Abraham, M. H. &#x0026; Matteoli, E.: <span class='"cmti-10'">The</span> <span class='"cmti-10'">temperature variation of the hydrophobic effect</span>, J. Chem. Soc. Faraday Trans. 1, 84, 1985–2000, <a href='"https://doi.org/10.1039/F19888401985'" >doi:10.1039/F19888401985</a> (1988). ",
8,2225,Abraham and Nasehzadeh (1981),"Abraham, M. H. &#x0026; Nasehzadeh, A.: <span class='"cmti-10'">Thermodynamics of solution of gaseous tetramethyltin in 36 solvents.</span> <span class='"cmti-10'">Comparison of experimental results with cavity-theory calculations</span>, J. Chem. Soc. Faraday Trans. 1, 77, 321–339, <a href='"https://doi.org/10.1039/F19817700321'" >doi:10.1039/F19817700321</a> (1981). ",
9,1500,Abraham et&nbsp;al. (1990),"Abraham, M. H., Whiting, G. S., Fuchs, R., &#x0026; Chambers, E. J.: <span class='"cmti-10'">Thermodynamics</span> <span class='"cmti-10'">of solute transfer from water to hexadecane</span>, J. Chem. Soc. Perkin Trans. 2, pp. 291–300, <a href='"https://doi.org/10.1039/P29900000291'" >doi:10.1039/P29900000291</a> (1990). ",
10,1501,Abraham et&nbsp;al. (1994a),"Abraham, M. H., Andonian-Haftvan, J., Whiting, G. S., Leo, A., &#x0026; Taft, R. S.: <span class='"cmti-10'">Hydrogen bonding. Part 34. The factors that influence the</span> <span class='"cmti-10'">solubility of gases and vapours in water at 298</span><span class='"cmti-10'"> </span>K<span class='"cmti-10'">, and a new method</span> <span class='"cmti-10'">for its determination</span>, J. Chem. Soc. Perkin Trans. 2, pp. 1777–1791, <a href='"https://doi.org/10.1039/P29940001777'" >doi:10.1039/P29940001777</a> (1994a). ",
11,3072,Abraham et&nbsp;al. (1994b),"Abraham, M. H., Chadha, H. S., Whiting, G. S., &#x0026; Mitchell, R.: <span class='"cmti-10'">Hydrogen bonding. 32. An analysis of water-octanol and water-alkane</span> <span class='"cmti-10'">partitioning and the </span>Δlog <span class='"cmmi-10'">P </span><span class='"cmti-10'">parameter of Seiler</span>, J. Pharm. Sci., 83, 1085–1100, <a href='"https://doi.org/10.1002/JPS.2600830806'" >doi:10.1002/JPS.2600830806</a> (1994b). ",
