id,iupac,formula,trivial,casrn,inchikey,subcat_id,
1,oxygen,O<sub>2</sub>,,7782-44-7,MYMOFIZGZYHOMD-UHFFFAOYSA-N,1,
2,ozone,O<sub>3</sub>,,10028-15-6,CBENFWSGALASAD-UHFFFAOYSA-N,1,
3,hydrogen atom,H,,12385-13-6,YZCKVEUIGOORGS-UHFFFAOYSA-N,2,
4,hydrogen,H<sub>2</sub>,,1333-74-0,UFHFLCQGNIYNRP-UHFFFAOYSA-N,2,
5,deuterium,D<sub>2</sub>,,7782-39-0,UFHFLCQGNIYNRP-VVKOMZTBSA-N,2,
6,hydroxyl radical,OH,,3352-57-6,TUJKJAMUKRIRHC-UHFFFAOYSA-N,2,
7,hydroperoxy radical,HO<sub>2</sub>,,3170-83-0,MHAJPDPJQMAIIY-UHFFFAOYSA-M,2,
8,hydrogen peroxide,H<sub>2</sub>O<sub>2</sub>,,7722-84-1,MHAJPDPJQMAIIY-UHFFFAOYSA-N,2,
9,nitrogen,N<sub>2</sub>,,7727-37-9,IJGRMHOSHXDMSA-UHFFFAOYSA-N,3,
10,ammonia,NH<sub>3</sub>,,7664-41-7,QGZKDVFQNNGYKY-UHFFFAOYSA-N,3,
11,hydrazoic acid,HN<sub>3</sub>,,7782-79-8,JUINSXZKUKVTMD-UHFFFAOYSA-N,3,
12,hydrazine,H<sub>4</sub>N<sub>2</sub>,,302-01-2,OAKJQQAXSVQMHS-UHFFFAOYSA-N,3,
13,dinitrogen monoxide,N<sub>2</sub>O,nitrous oxide; laughing gas,10024-97-2,GQPLMRYTRLFLPF-UHFFFAOYSA-N,3,
14,nitrogen monoxide,NO,nitric oxide,10102-43-9,MWUXSHHQAYIFBG-UHFFFAOYSA-N,3,
15,nitrogen dioxide,NO<sub>2</sub>,,10102-44-0,JCXJVPUVTGWSNB-UHFFFAOYSA-N,3,
16,nitrogen trioxide,NO<sub>3</sub>,nitrate radical,12033-49-7,YPJKMVATUPSWOH-UHFFFAOYSA-N,3,
17,dinitrogen trioxide,N<sub>2</sub>O<sub>3</sub>,,10544-73-7,LZDSILRDTDCIQT-UHFFFAOYSA-N,3,
18,dinitrogen tetroxide,N<sub>2</sub>O<sub>4</sub>,,10544-72-6,WFPZPJSADLPSON-UHFFFAOYSA-N,3,
19,dinitrogen pentoxide,N<sub>2</sub>O<sub>5</sub>,nitric anhydride,10102-03-1,ZWWCURLKEXEFQT-UHFFFAOYSA-N,3,
20,hydroxylamine,H<sub>3</sub>NO,,7803-49-8,AVXURJPOCDRRFD-UHFFFAOYSA-N,3,
21,nitrous acid,HNO<sub>2</sub>,,7782-77-6,IOVCWXUNBOPUCH-UHFFFAOYSA-N,3,
22,nitric acid,HNO<sub>3</sub>,,7697-37-2,GRYLNZFGIOXLOG-UHFFFAOYSA-N,3,
23,pernitric acid,HNO<sub>4</sub>,,26404-66-0,UUZZMWZGAZGXSF-UHFFFAOYSA-N,3,
24,fluorine atom,F,,14762-94-8,YCKRFDGAMUMZLT-UHFFFAOYSA-N,4,
25,hydrogen fluoride,HF,,7664-39-3,KRHYYFGTRYWZRS-UHFFFAOYSA-N,4,
26,difluorine monoxide,F<sub>2</sub>O,,7783-41-7,UJMWVICAENGCRF-UHFFFAOYSA-N,4,
