,chembl_id,smiles,inchi,chembl_inchikeys
1,CHEMBL2447938,O=[O+][O-],InChI=1S/O3/c1-3-2,CBENFWSGALASAD-UHFFFAOYSA-N
5,CHEMBL1689064,[OH],InChI=1S/HO/h1H,TUJKJAMUKRIRHC-UHFFFAOYSA-N
10,CHEMBL186537,[N-]=[N+]=N,InChI=1S/HN3/c1-3-2/h1H,JUINSXZKUKVTMD-UHFFFAOYSA-N
13,CHEMBL1200689,[N]=O,InChI=1S/NO/c1-2,MWUXSHHQAYIFBG-UHFFFAOYSA-N
20,CHEMBL1161681,O=NO,"InChI=1S/HNO2/c2-1-3/h(H,2,3)",IOVCWXUNBOPUCH-UHFFFAOYSA-N
21,CHEMBL1352,O=[N+]([O-])O,"InChI=1S/HNO3/c2-1(3)4/h(H,2,3,4)",GRYLNZFGIOXLOG-UHFFFAOYSA-N
30,CHEMBL1231821,Cl,InChI=1S/ClH/h1H,VEXZGXHMUGYJMC-UHFFFAOYSA-N
31,CHEMBL1616046,OCl,InChI=1S/ClHO/c1-2/h2H,QWPPOHNGKGFGJK-UHFFFAOYSA-N
32,CHEMBL1161634,[O-][Cl+3]([O-])([O-])O,"InChI=1S/ClHO4/c2-1(3,4)5/h(H,2,3,4,5)",VLTRZXGMWDSKGL-UHFFFAOYSA-N
33,CHEMBL498572,O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,"InChI=1S/C19H22N2O3/c22-18-10-21-12-5-11(18)6-13(21)8-14(7-12)24-19(23)16-9-20-17-4-2-1-3-15(16)17/h1-4,9,11-14,18,20,22H,5-8,10H2",MLWGAEVSWJXOQJ-UHFFFAOYSA-N
51,CHEMBL1233550,I,InChI=1S/HI/h1H,XMBWDFGMSWQBCA-UHFFFAOYSA-N
61,CHEMBL1796997,[He],InChI=1S/He,SWQJXJOGLNCZEY-UHFFFAOYSA-N
64,CHEMBL1233877,[Kr],InChI=1S/Kr,DNNSSWSSYDEUBZ-UHFFFAOYSA-N
65,CHEMBL1236802,[Xe],InChI=1S/Xe,FHNFHKCVQCLJFQ-UHFFFAOYSA-N
69,CHEMBL2227836,P,InChI=1S/H3P/h1H3,XYFCBTPGUUZFHI-UHFFFAOYSA-N
