smiles,inchikey
O=[O+][O-],CBENFWSGALASAD-UHFFFAOYSA-N
[H],YZCKVEUIGOORGS-UHFFFAOYSA-N
[HH],UFHFLCQGNIYNRP-UHFFFAOYSA-N
[2H][2H],UFHFLCQGNIYNRP-VVKOMZTBSA-N
[OH],TUJKJAMUKRIRHC-UHFFFAOYSA-N
O[O-],MHAJPDPJQMAIIY-UHFFFAOYSA-M
[N-]=[N+]=N,JUINSXZKUKVTMD-UHFFFAOYSA-N
[N]=O,MWUXSHHQAYIFBG-UHFFFAOYSA-N
N(=O)[O],JCXJVPUVTGWSNB-UHFFFAOYSA-N
[N+](=O)([O-])[O],YPJKMVATUPSWOH-UHFFFAOYSA-N
N(=O)[N+](=O)[O-],LZDSILRDTDCIQT-UHFFFAOYSA-N
[N+](=O)([N+](=O)[O-])[O-],WFPZPJSADLPSON-UHFFFAOYSA-N
[N+](=O)([O-])O[N+](=O)[O-],ZWWCURLKEXEFQT-UHFFFAOYSA-N
O=NO,IOVCWXUNBOPUCH-UHFFFAOYSA-N
O=[N+]([O-])O,GRYLNZFGIOXLOG-UHFFFAOYSA-N
[N+](=O)([O-])OO,UUZZMWZGAZGXSF-UHFFFAOYSA-N
[F],YCKRFDGAMUMZLT-UHFFFAOYSA-N
O(F)F,UJMWVICAENGCRF-UHFFFAOYSA-N
N(F)(F)F,GVGCUCJTUSOZKP-UHFFFAOYSA-N
N(N(F)F)(F)F,GFADZIUESKAXAK-UHFFFAOYSA-N
[Cl],ZAMOUSCENKQFHK-UHFFFAOYSA-N
Cl,VEXZGXHMUGYJMC-UHFFFAOYSA-N
OCl,QWPPOHNGKGFGJK-UHFFFAOYSA-N
[O-][Cl+3]([O-])([O-])O,VLTRZXGMWDSKGL-UHFFFAOYSA-N
O=C(OC1CC2CC3CC(C1)N2CC3O)c1c[nH]c2ccccc12,MLWGAEVSWJXOQJ-UHFFFAOYSA-N
O(Cl)Cl,RCJVRSBWZCNNQT-UHFFFAOYSA-N
O=Cl[O],OSVXSBDYLRYLIG-UHFFFAOYSA-N
N(=O)Cl,VPCDQGACGWYTMC-UHFFFAOYSA-N
[NH+](=O)[O-].[Cl-],HSSFHZJIMRUXDM-UHFFFAOYSA-M
[N+](=O)([O-])OCl,XYLGPCWDPLOBGP-UHFFFAOYSA-N
NCl,QDHHCQZDFGDHMP-UHFFFAOYSA-N
N(Cl)Cl,JSYGRUBHOCKMGQ-UHFFFAOYSA-N
N(Cl)(Cl)Cl,QEHKBHWEUPXBCW-UHFFFAOYSA-N
BrBr,GDTBXPJZTBHREO-UHFFFAOYSA-N
[Br],WKBOTKDWSSQWDR-UHFFFAOYSA-N
OBr,CUILPNURFADTPE-UHFFFAOYSA-N
[NH+](=O)[O-].[Br-],SEYAFCXQVVHRPY-UHFFFAOYSA-M
[N+](=O)([O-])OBr,RRTWEEAEXPZMPY-UHFFFAOYSA-N
ClBr,CODNYICXDISAEA-UHFFFAOYSA-N
[I],ZCYVEMRRCGMTRW-UHFFFAOYSA-N
I,XMBWDFGMSWQBCA-UHFFFAOYSA-N
OI,GEOVEUCEIQCBKH-UHFFFAOYSA-N
ClI,QZRGKCOWNLSUDK-UHFFFAOYSA-N
BrI,CBEQRNSPHCCXSH-UHFFFAOYSA-N
O=S(=O)=O,AKEJUJNQAAGONA-UHFFFAOYSA-N
O=S(=O)(F)F,OBTWBSRJZRCYQV-UHFFFAOYSA-N
[He],SWQJXJOGLNCZEY-UHFFFAOYSA-N
[Ne],GKAOGPIIYCISHV-UHFFFAOYSA-N
