CBENFWSGALASAD-UHFFFAOYSA-N	[O-][O+]=O
YZCKVEUIGOORGS-UHFFFAOYSA-N	[H]
UFHFLCQGNIYNRP-UHFFFAOYSA-N	[HH]
UFHFLCQGNIYNRP-VVKOMZTBSA-N	[2H][2H]
TUJKJAMUKRIRHC-UHFFFAOYSA-N	[OH]
MHAJPDPJQMAIIY-UHFFFAOYSA-M	O[O-]
JUINSXZKUKVTMD-UHFFFAOYSA-N	N=[N+]=[N-]
MWUXSHHQAYIFBG-UHFFFAOYSA-N	[N]=O
JCXJVPUVTGWSNB-UHFFFAOYSA-N	N(=O)[O]
YPJKMVATUPSWOH-UHFFFAOYSA-N	[N+](=O)([O-])[O]
LZDSILRDTDCIQT-UHFFFAOYSA-N	N(=O)[N+](=O)[O-]
WFPZPJSADLPSON-UHFFFAOYSA-N	[N+](=O)([N+](=O)[O-])[O-]
ZWWCURLKEXEFQT-UHFFFAOYSA-N	[N+](=O)([O-])O[N+](=O)[O-]
IOVCWXUNBOPUCH-UHFFFAOYSA-N	N(=O)O
GRYLNZFGIOXLOG-UHFFFAOYSA-N	[N+](=O)(O)[O-]
UUZZMWZGAZGXSF-UHFFFAOYSA-N	[N+](=O)([O-])OO
YCKRFDGAMUMZLT-UHFFFAOYSA-N	[F]
UJMWVICAENGCRF-UHFFFAOYSA-N	O(F)F
GVGCUCJTUSOZKP-UHFFFAOYSA-N	N(F)(F)F
GFADZIUESKAXAK-UHFFFAOYSA-N	N(N(F)F)(F)F
ZAMOUSCENKQFHK-UHFFFAOYSA-N	[Cl]
VEXZGXHMUGYJMC-UHFFFAOYSA-N	Cl
VEXZGXHMUGYJMC-UHFFFAOYSA-N	[H+].[Cl-]
QWPPOHNGKGFGJK-UHFFFAOYSA-N	OCl
VLTRZXGMWDSKGL-UHFFFAOYSA-N	OCl(=O)(=O)=O
MLWGAEVSWJXOQJ-UHFFFAOYSA-N	C1C2CC3CC(CC1N3CC2O)OC(=O)C4=CNC5=CC=CC=C54
RCJVRSBWZCNNQT-UHFFFAOYSA-N	O(Cl)Cl
OSVXSBDYLRYLIG-UHFFFAOYSA-N	O=Cl[O]
VPCDQGACGWYTMC-UHFFFAOYSA-N	N(=O)Cl
HSSFHZJIMRUXDM-UHFFFAOYSA-M	[NH+](=O)[O-].[Cl-]
XYLGPCWDPLOBGP-UHFFFAOYSA-N	[N+](=O)([O-])OCl
QDHHCQZDFGDHMP-UHFFFAOYSA-N	NCl
JSYGRUBHOCKMGQ-UHFFFAOYSA-N	N(Cl)Cl
QEHKBHWEUPXBCW-UHFFFAOYSA-N	N(Cl)(Cl)Cl
GDTBXPJZTBHREO-UHFFFAOYSA-N	BrBr
WKBOTKDWSSQWDR-UHFFFAOYSA-N	[Br]
CUILPNURFADTPE-UHFFFAOYSA-N	OBr
